datereadable,timingsFajr,timingsSunrise,timingsDhuhr,timingsAsr,timingsMaghrib,timingsIsha
01/04/2022,05:04,06:40,01:09,05:35,07:38,09:15
02/04/2022,05:01,06:38,01:09,05:36,07:40,09:18
03/04/2022,04:58,06:36,01:08,05:38,07:42,09:20
04/04/2022,04:56,06:34,01:08,05:39,07:43,09:22
05/04/2022,04:53,06:31,01:08,05:40,07:45,09:24
06/04/2022,04:50,06:29,01:07,05:41,07:47,09:26
07/04/2022,04:47,06:27,01:07,05:42,07:49,09:28
08/04/2022,04:45,06:24,01:07,05:44,07:50,09:30
09/04/2022,04:42,06:22,01:07,05:45,07:52,09:33
10/04/2022,04:39,06:20,01:06,05:46,07:54,09:35
11/04/2022,04:36,06:18,01:06,05:47,07:55,09:37
12/04/2022,04:34,06:16,01:06,05:48,07:57,09:39
13/04/2022,04:31,06:13,01:06,05:50,07:59,09:42
14/04/2022,04:28,06:11,01:05,05:51,08:00,09:44
15/04/2022,04:25,06:09,01:05,05:52,08:02,09:46
16/04/2022,04:22,06:07,01:05,05:53,08:04,09:49
17/04/2022,04:20,06:05,01:05,05:54,08:05,09:51
18/04/2022,04:17,06:03,01:04,05:55,08:07,09:53
19/04/2022,04:14,06:00,01:04,05:56,08:09,09:56
20/04/2022,04:11,05:58,01:04,05:57,08:11,09:58
21/04/2022,04:08,05:56,01:04,05:58,08:12,10:01
22/04/2022,04:05,05:54,01:04,06:00,08:14,10:03
23/04/2022,04:02,05:52,01:03,06:01,08:16,10:06
24/04/2022,04:00,05:50,01:03,06:02,08:17,10:08
25/04/2022,03:57,05:48,01:03,06:03,08:19,10:11
26/04/2022,03:54,05:46,01:03,06:04,08:21,10:13
27/04/2022,03:51,05:44,01:03,06:05,08:22,10:16
28/04/2022,03:48,05:42,01:03,06:06,08:24,10:19
29/04/2022,03:45,05:40,01:02,06:07,08:26,10:21
30/04/2022,03:42,05:38,01:02,06:08,08:27,10:24
