datereadable,timingsFajr,timingsSunrise,timingsDhuhr,timingsAsr,timingsMaghrib,timingsIsha
01/01/2022,06:28,08:12,12:09,14:19,16:06,17:50
02/01/2022,06:28,08:12,12:09,14:20,16:07,17:51
03/01/2022,06:28,08:12,12:10,14:21,16:08,17:51
04/01/2022,06:28,08:11,12:10,14:22,16:09,17:52
05/01/2022,06:28,08:11,12:10,14:23,16:10,17:54
06/01/2022,06:27,08:11,12:11,14:24,16:11,17:55
07/01/2022,06:27,08:10,12:11,14:26,16:13,17:56
08/01/2022,06:27,08:10,12:12,14:27,16:14,17:57
09/01/2022,06:27,08:09,12:12,14:28,16:15,17:58
10/01/2022,06:26,08:09,12:13,14:30,16:17,17:59
11/01/2022,06:26,08:08,12:13,14:31,16:18,18:00
12/01/2022,06:26,08:07,12:13,14:32,16:20,18:02
13/01/2022,06:25,08:07,12:14,14:34,16:21,18:03
14/01/2022,06:25,08:06,12:14,14:35,16:23,18:04
15/01/2022,06:24,08:05,12:14,14:37,16:24,18:05
16/01/2022,06:23,08:04,12:15,14:38,16:26,18:07
17/01/2022,06:23,08:03,12:15,14:40,16:28,18:08
18/01/2022,06:22,08:02,12:15,14:41,16:29,18:09
19/01/2022,06:21,08:01,12:16,14:43,16:31,18:11
20/01/2022,06:20,08:00,12:16,14:44,16:32,18:12
21/01/2022,06:20,07:59,12:16,14:46,16:34,18:14
22/01/2022,06:19,07:58,12:17,14:48,16:36,18:15
23/01/2022,06:18,07:57,12:17,14:49,16:38,18:17
24/01/2022,06:17,07:56,12:17,14:51,16:39,18:18
25/01/2022,06:16,07:54,12:17,14:53,16:41,18:19
26/01/2022,06:15,07:53,12:18,14:54,16:43,18:21
27/01/2022,06:14,07:52,12:18,14:56,16:45,18:22
28/01/2022,06:13,07:50,12:18,14:58,16:46,18:24
29/01/2022,06:11,07:49,12:18,14:59,16:48,18:26
30/01/2022,06:10,07:47,12:18,15:01,16:50,18:27
31/01/2022,06:09,07:46,12:18,15:03,16:52,18:29
