datereadable,timingsFajr,timingsSunrise,timingsDhuhr,timingsAsr,timingsMaghrib,timingsIsha
01/05/2022,03:39,05:36,01:02,06:09,08:29,10:27
02/05/2022,03:36,05:34,01:02,06:10,08:31,10:29
03/05/2022,03:33,05:32,01:02,06:11,08:32,10:32
04/05/2022,03:30,05:31,01:02,06:12,08:34,10:35
05/05/2022,03:27,05:29,01:02,06:13,08:35,10:38
06/05/2022,03:24,05:27,01:02,06:14,08:37,10:41
07/05/2022,03:21,05:25,01:02,06:15,08:39,10:43
08/05/2022,03:18,05:24,01:02,06:16,08:40,10:46
09/05/2022,03:15,05:22,01:01,06:17,08:42,10:49
10/05/2022,03:12,05:20,01:01,06:18,08:44,10:52
11/05/2022,03:10,05:19,01:01,06:19,08:45,10:53
12/05/2022,03:09,05:17,01:01,06:20,08:47,10:54
13/05/2022,03:09,05:15,01:01,06:21,08:48,10:55
14/05/2022,03:08,05:14,01:01,06:22,08:50,10:56
15/05/2022,03:07,05:12,01:01,06:23,08:51,10:57
16/05/2022,03:06,05:11,01:01,06:23,08:53,10:57
17/05/2022,03:06,05:09,01:01,06:24,08:54,10:58
18/05/2022,03:05,05:08,01:01,06:25,08:56,10:59
19/05/2022,03:04,05:06,01:02,06:26,08:57,11:00
20/05/2022,03:04,05:05,01:02,06:27,08:59,11:00
21/05/2022,03:03,05:04,01:02,06:28,09:00,11:01
22/05/2022,03:02,05:03,01:02,06:29,09:01,11:02
23/05/2022,03:02,05:01,01:02,06:29,09:03,11:02
24/05/2022,03:01,05:00,01:02,06:30,09:04,11:03
25/05/2022,03:01,04:59,01:02,06:31,09:05,11:04
26/05/2022,03:00,04:58,01:02,06:32,09:07,11:05
27/05/2022,03:00,04:57,01:02,06:32,09:08,11:05
28/05/2022,02:59,04:56,01:02,06:33,09:09,11:06
29/05/2022,02:59,04:55,01:02,06:34,09:11,11:07
30/05/2022,02:58,04:54,01:03,06:35,09:12,11:07
31/05/2022,02:58,04:53,01:03,06:35,09:13,11:08
