datereadable,timingsFajr,timingsSunrise,timingsDhuhr,timingsAsr,timingsMaghrib,timingsIsha
01/12/2022,06:07,07:49,11:54,02:11,03:58,05:41
02/12/2022,06:08,07:51,11:54,02:11,03:58,05:40
03/12/2022,06:09,07:52,11:55,02:10,03:57,05:40
04/12/2022,06:10,07:53,11:55,02:10,03:57,05:40
05/12/2022,06:11,07:55,11:56,02:09,03:56,05:39
06/12/2022,06:13,07:56,11:56,02:09,03:56,05:39
07/12/2022,06:14,07:57,11:56,02:09,03:55,05:39
08/12/2022,06:15,07:58,11:57,02:09,03:55,05:39
09/12/2022,06:16,07:59,11:57,02:08,03:55,05:39
10/12/2022,06:16,08:00,11:58,02:08,03:55,05:39
11/12/2022,06:17,08:02,11:58,02:08,03:55,05:39
12/12/2022,06:18,08:03,11:59,02:08,03:55,05:39
13/12/2022,06:19,08:04,11:59,02:08,03:55,05:39
14/12/2022,06:20,08:04,12:00,02:08,03:55,05:39
15/12/2022,06:21,08:05,12:00,02:08,03:55,05:39
16/12/2022,06:21,08:06,12:01,02:09,03:55,05:40
17/12/2022,06:22,08:07,12:01,02:09,03:55,05:40
18/12/2022,06:23,08:08,12:02,02:09,03:55,05:40
19/12/2022,06:23,08:08,12:02,02:09,03:56,05:41
20/12/2022,06:24,08:09,12:03,02:10,03:56,05:41
21/12/2022,06:25,08:09,12:03,02:10,03:57,05:42
22/12/2022,06:25,08:10,12:04,02:11,03:57,05:42
23/12/2022,06:26,08:10,12:04,02:11,03:58,05:43
24/12/2022,06:26,08:11,12:05,02:12,03:58,05:43
25/12/2022,06:26,08:11,12:05,02:13,03:59,05:44
26/12/2022,06:27,08:11,12:06,02:13,04:00,05:45
27/12/2022,06:27,08:12,12:06,02:14,04:01,05:45
28/12/2022,06:27,08:12,12:07,02:15,04:01,05:46
29/12/2022,06:27,08:12,12:07,02:16,04:02,05:47
30/12/2022,06:28,08:12,12:08,02:17,04:03,05:48
31/12/2022,06:28,08:12,12:08,02:18,04:04,05:48
